pos[m] eKin rmsX rmsXp rmsY rmsYp rmsZ rmsdp_p  rmsZp phase time eKin x xp y yp z dp_p zp phase0 time0 eKin0 
+5.035714e-002      2.500044  +1.200251e-003 +9.793025e-003 +5.618702e-004 +8.197096e-003 +1.446952e-003 +2.861168e-003 +2.845998e-003 +9.604605e+000 +6.628437e-011 +1.428710e-002 +1.051312e-007 +2.242246e-006 -9.109931e-008 -1.271789e-006 -4.244255e-006 +8.611977e-006 +8.566316e-006 +2.817259e-002 +1.944278e-013 +4.300349e-005 
+1.007105e-001      2.500088  +1.653709e-003 +1.051862e-002 +4.799965e-004 +8.158211e-003 +1.511703e-003 +3.338329e-003 +3.320628e-003 +1.003432e+001 +6.924996e-011 +1.667008e-002 +2.165044e-007 +4.289249e-006 -1.836026e-007 -2.450048e-006 -8.469186e-006 +1.722878e-005 +1.713743e-005 +5.621641e-002 +3.879669e-013 +8.603257e-005 
+1.510088e-001      2.500131  +1.795151e-003 +6.200294e-003 +9.373940e-004 +1.324558e-002 +1.643927e-003 +3.844418e-003 +3.824034e-003 +1.091190e+001 +7.530639e-011 +1.919758e-002 +4.196597e-007 +3.470346e-006 -2.960557e-007 -2.248756e-006 -1.226047e-005 +2.591628e-005 +2.577887e-005 +8.138133e-002 +5.616379e-013 +1.294162e-004 
+2.010385e-001      2.500158  +1.609705e-003 +5.273921e-003 +1.609269e-003 +1.430856e-002 +1.820610e-003 +4.202078e-003 +4.179797e-003 +1.208460e+001 +8.339960e-011 +2.098383e-002 +6.353193e-007 +4.276015e-006 -3.616767e-007 -1.252702e-006 -1.757418e-005 +3.126308e-005 +3.109731e-005 +1.166515e-001 +8.050485e-013 +1.561178e-004 
+2.510614e-001      2.500180  +1.432877e-003 +5.788926e-003 +2.221116e-003 +1.388255e-002 +2.009432e-003 +4.519059e-003 +4.495097e-003 +1.333788e+001 +9.204885e-011 +2.256693e-002 +9.057068e-007 +6.817006e-006 -3.913129e-007 +3.365772e-007 -2.267604e-005 +3.566088e-005 +3.547179e-005 +1.505153e-001 +1.038753e-012 +1.780805e-004 
+3.013597e-001      2.500193  +1.576550e-003 +1.043635e-002 +2.358467e-003 +9.631642e-003 +2.219792e-003 +4.764882e-003 +4.739617e-003 +1.473413e+001 +1.016848e-010 +2.379462e-002 +1.432569e-006 +1.643345e-005 -2.855680e-007 +4.141597e-006 -2.545515e-005 +3.828991e-005 +3.808688e-005 +1.689616e-001 +1.166057e-012 +1.912102e-004 
+3.514231e-001      2.500201  +2.095518e-003 +1.085085e-002 +1.926101e-003 +9.249145e-003 +2.453360e-003 +4.972948e-003 +4.946580e-003 +1.628444e+001 +1.123840e-010 +2.483373e-002 +2.276925e-006 +1.716253e-005 -5.585570e-008 +4.731117e-006 -3.029881e-005 +3.985957e-005 +3.964822e-005 +2.011116e-001 +1.387934e-012 +1.990493e-004 
+4.019474e-001      2.500207  +2.499423e-003 +1.045640e-002 +1.550865e-003 +7.699469e-003 +2.694364e-003 +5.174785e-003 +5.147347e-003 +1.788411e+001 +1.234238e-010 +2.584173e-002 +2.976156e-006 +1.169443e-005 +2.012407e-007 +5.639244e-006 -3.442588e-005 +4.114960e-005 +4.093141e-005 +2.285052e-001 +1.576986e-012 +2.054920e-004 
+4.521875e-001      2.500210  +2.525544e-003 +8.644875e-003 +1.413982e-003 +3.206470e-003 +2.945357e-003 +5.359204e-003 +5.330788e-003 +1.955009e+001 +1.349213e-010 +2.676271e-002 +3.210897e-006 -6.690701e-006 +5.113912e-007 +7.546126e-006 -3.642446e-005 +4.175244e-005 +4.153105e-005 +2.417709e-001 +1.668536e-012 +2.085026e-004 
+5.025238e-001      2.501114  +2.101558e-003 +8.463797e-003 +1.544659e-003 +3.351896e-003 +3.212611e-003 +5.688634e-003 +5.658459e-003 +2.132018e+001 +1.471372e-010 +2.841806e-002 +2.877472e-006 -6.551814e-006 +8.970884e-007 +7.732088e-006 -3.894382e-005 +1.785676e-005 +1.776204e-005 +2.584469e-001 +1.783622e-012 +8.920496e-005 
+5.530000e-001      2.501064  +1.723998e-003 +6.900032e-003 +1.721589e-003 +4.578791e-003 +3.351399e-003 +1.142386e-003 +1.136326e-003 +2.224145e+001 +1.534952e-010 +5.706771e-003 +2.597510e-006 -4.613320e-006 +1.334154e-006 +9.587173e-006 -2.343651e-005 +5.094328e-005 +5.067306e-005 +1.555356e-001 +1.073400e-012 +2.544864e-004 
+6.032857e-001      2.500339  +1.399088e-003 +6.724615e-003 +1.941251e-003 +4.747964e-003 +3.355356e-003 +1.139190e-003 +1.133149e-003 +2.227093e+001 +1.536986e-010 +5.689160e-003 +2.362459e-006 -4.695890e-006 +1.817738e-006 +9.626833e-006 -2.211084e-005 +6.736448e-005 +6.700726e-005 +1.467591e-001 +1.012830e-012 +3.364208e-004 
+6.535175e-001      2.500336  +1.237144e-003 +3.758458e-003 +1.957916e-003 +4.826951e-003 +3.368821e-003 +1.192811e-003 +1.186486e-003 +2.236032e+001 +1.543155e-010 +5.956936e-003 +2.374474e-006 +3.458517e-006 +2.083432e-006 +2.305809e-006 -1.977651e-005 +6.677519e-005 +6.642110e-005 +1.312653e-001 +9.059024e-013 +3.334775e-004 
+7.038131e-001      2.500332  +1.224912e-003 +2.849871e-003 +1.807989e-003 +4.683289e-003 +3.398423e-003 +1.288041e-003 +1.281211e-003 +2.255682e+001 +1.556716e-010 +6.432511e-003 +2.590828e-006 +5.905802e-006 +2.148316e-006 -2.025764e-007 -1.735481e-005 +6.611257e-005 +6.576199e-005 +1.151914e-001 +7.949720e-013 +3.301679e-004 
+7.541075e-001      2.500328  +1.270129e-003 +2.923151e-003 +1.595391e-003 +4.449941e-003 +3.434630e-003 +1.399755e-003 +1.392333e-003 +2.279715e+001 +1.573302e-010 +6.990405e-003 +2.884237e-006 +5.608807e-006 +2.136328e-006 -3.792690e-007 -1.492691e-005 +6.542599e-005 +6.507906e-005 +9.907650e-002 +6.837578e-013 +3.267387e-004 
+8.046049e-001      2.500327  +1.346465e-003 +3.046282e-003 +1.410019e-003 +4.226942e-003 +3.485200e-003 +1.535900e-003 +1.527755e-003 +2.313281e+001 +1.596467e-010 +7.670308e-003 +3.145520e-006 +5.125313e-006 +2.106135e-006 -6.376628e-007 -1.251540e-005 +6.508605e-005 +6.474092e-005 +8.307025e-002 +5.732936e-013 +3.250408e-004 
+8.548364e-001      2.500327  +1.463554e-003 +3.234686e-003 +1.262984e-003 +4.020137e-003 +3.554417e-003 +1.703226e-003 +1.694194e-003 +2.359223e+001 +1.628174e-010 +8.505941e-003 +3.361115e-006 +4.397869e-006 +2.051946e-006 -1.002431e-006 -1.015142e-005 +6.521270e-005 +6.486690e-005 +6.737948e-002 +4.650067e-013 +3.256733e-004 
+9.050679e-001      2.500328  +1.580644e-003 +3.423090e-003 +1.115950e-003 +3.813332e-003 +3.623634e-003 +1.870552e-003 +1.860633e-003 +2.405166e+001 +1.659880e-010 +9.341573e-003 +3.576711e-006 +3.670425e-006 +1.997757e-006 -1.367200e-006 -7.787446e-006 +6.533934e-005 +6.499287e-005 +5.168871e-002 +3.567199e-013 +3.263059e-004 
+9.552994e-001      2.500329  +1.697733e-003 +3.611494e-003 +9.689149e-004 +3.606528e-003 +3.692852e-003 +2.037879e-003 +2.027072e-003 +2.451108e+001 +1.691586e-010 +1.017721e-002 +3.792306e-006 +2.942981e-006 +1.943568e-006 -1.731968e-006 -5.423469e-006 +6.546600e-005 +6.511885e-005 +3.599795e-002 +2.484331e-013 +3.269385e-004 
+1.005531e+000      2.500335  +1.876899e-003 +3.824925e-003 +9.452506e-004 +3.568039e-003 +3.798424e-003 +2.211687e-003 +2.199959e-003 +2.521178e+001 +1.739944e-010 +1.104523e-002 +3.874134e-006 +2.181773e-006 +1.826989e-006 -2.046406e-006 -3.173796e-006 +6.660631e-005 +6.625311e-005 +2.106586e-002 +1.453820e-013 +3.326340e-004 
+1.055762e+000      2.500341  +2.059593e-003 +4.039778e-003 +9.285959e-004 +3.539114e-003 +3.906063e-003 +2.385864e-003 +2.373213e-003 +2.592619e+001 +1.789247e-010 +1.191511e-002 +3.948363e-006 +1.418646e-006 +1.706864e-006 -2.357985e-006 -9.306172e-007 +6.780421e-005 +6.744467e-005 +6.176901e-003 +4.262872e-014 +3.386171e-004 
+1.105994e+000      2.500347  +2.242287e-003 +4.254632e-003 +9.119412e-004 +3.510189e-003 +4.013701e-003 +2.560041e-003 +2.546466e-003 +2.664060e+001 +1.838551e-010 +1.278499e-002 +4.022590e-006 +6.555191e-007 +1.586739e-006 -2.669564e-006 +1.312561e-006 +6.900213e-005 +6.863623e-005 +8.712017e-003 +6.012434e-014 +3.446004e-004 
+1.156036e+000      2.500353  +2.440997e-003 +4.447888e-003 +9.471132e-004 +3.535090e-003 +4.132720e-003 +2.718735e-003 +2.704319e-003 +2.743055e+001 +1.893068e-010 +1.357755e-002 +4.056315e-006 +3.599108e-008 +1.454445e-006 -2.875769e-006 +3.495718e-006 +7.032738e-005 +6.995445e-005 +2.320250e-002 +1.601277e-013 +3.512197e-004 
+1.206393e+000      2.500360  +2.660668e-003 +4.617837e-003 +1.043575e-003 +3.623522e-003 +4.266396e-003 +2.860939e-003 +2.845769e-003 +2.831777e+001 +1.954297e-010 +1.428777e-002 +4.042800e-006 -4.214278e-007 +1.306425e-006 -2.960348e-006 +5.631805e-006 +7.181655e-005 +7.143572e-005 +3.738053e-002 +2.579747e-013 +3.586578e-004 
+1.256809e+000      2.500821  +2.885297e-003 +4.774203e-003 +1.153369e-003 +3.718771e-003 +4.404261e-003 +3.033411e-003 +3.017323e-003 +2.923015e+001 +2.017264e-010 +1.515189e-002 +4.019044e-006 -8.471868e-007 +1.156669e-006 -3.018501e-006 +7.630695e-006 +5.455462e-005 +5.426528e-005 +5.064331e-002 +3.495053e-013 +2.725004e-004 
+1.307286e+000      2.499168  +3.148750e-003 +6.139809e-003 +1.309562e-003 +4.224001e-003 +4.467594e-003 +2.015554e-003 +2.004871e-003 +2.966024e+001 +2.046945e-010 +1.006105e-002 +4.036946e-006 +2.068898e-006 +9.620763e-007 -5.039239e-006 +2.599718e-005 +9.293927e-005 +9.244667e-005 +1.725946e-001 +1.191129e-012 +4.639254e-004 
+1.357731e+000      2.500266  +3.459408e-003 +6.290737e-003 +1.497939e-003 +4.325728e-003 +4.396036e-003 +1.635241e-003 +1.626570e-003 +2.917879e+001 +2.013719e-010 +8.166222e-003 +4.116738e-006 +1.408872e-006 +7.053579e-007 -5.091263e-006 +2.671395e-005 +5.286215e-005 +5.258185e-005 +1.773145e-001 +1.223702e-012 +2.639880e-004 
+1.408113e+000      2.500268  +3.401628e-003 +9.320964e-003 +1.873939e-003 +9.843252e-003 +4.330097e-003 +1.553470e-003 +1.545233e-003 +2.874110e+001 +1.983513e-010 +7.757872e-003 +3.753332e-006 -1.144517e-005 +5.076584e-007 -3.441186e-006 +2.635895e-005 +5.335419e-005 +5.307128e-005 +1.749581e-001 +1.207440e-012 +2.664454e-004 
+1.458625e+000      2.500269  +3.047846e-003 +1.086372e-002 +2.410509e-003 +1.281811e-002 +4.268387e-003 +1.477167e-003 +1.469334e-003 +2.833150e+001 +1.955245e-010 +7.376823e-003 +3.048690e-006 -1.836853e-005 +3.512768e-007 -2.578430e-006 +2.358027e-005 +5.353553e-005 +5.325166e-005 +1.565145e-001 +1.080155e-012 +2.673511e-004 
