0 0 0 0 0 0  0 0
18 1 0 5.66448 0 0  0.176539 0
36 2 0 11.329 0 0  0.0882693 0
54 3 0 16.9934 0 0  0.0588462 0
72 4 0 22.6579 0 0  0.0441347 0
90 5 0 28.3224 0 0  0.0353077 0
108 6 0 33.9869 0 0  0.0294231 0
126 7 0 39.6514 0 0.120478  0.0252198 0
144 8 0 45.3159 0 0.879522  0.0220673 0
1 0 1 0 3.12397 0  0 0.320106
19 1 1 5.66448 3.12397 0  0.135366 0.0746547
37 2 1 11.329 3.12397 0  0.0820318 0.0226203
55 3 1 16.9934 3.12397 0  0.0569225 0.0104643
73 4 1 22.6579 3.12397 0  0.0433113 0.00597156
91 5 1 28.3224 3.12397 0  0.0348833 0.00384764
109 6 1 33.9869 3.12397 0  0.0291766 0.00268182
127 7 1 39.6514 3.12397 0  0.0250642 0.00197471
145 8 1 45.3159 3.12397 0  0.021963 0.00151407
2 0 2 0 6.24794 0  0 0.160053
20 1 2 5.66448 6.24794 0  0.0796434 0.0878468
38 2 2 11.329 6.24794 0  0.0676832 0.0373274
56 3 2 16.9934 6.24794 0  0.0518387 0.0190594
74 4 2 22.6579 6.24794 0.110218  0.0410159 0.0113101
92 5 2 28.3224 6.24794 0.126494  0.0336692 0.00742744
110 6 2 33.9869 6.24794 0  0.0284613 0.00523214
128 7 2 39.6514 6.24794 0  0.0246088 0.00387765
146 8 2 45.3159 6.24794 0  0.0216557 0.00298578
3 0 3 0 9.3719 0.245003  0 0.106702
21 1 3 5.66448 9.3719 0.0118371  0.0472359 0.078152
39 2 3 11.329 9.3719 0.434847  0.0524057 0.0433527
57 3 3 16.9934 9.3719 0.0686064  0.0451222 0.0248849
75 4 3 22.6579 9.3719 0.443955  0.0376869 0.0155883
93 5 3 28.3224 9.3719 0.407885  0.0318232 0.0105303
111 6 3 33.9869 9.3719 0  0.0273439 0.0075401
129 7 3 39.6514 9.3719 0  0.0238854 0.00564551
147 8 3 45.3159 9.3719 0  0.0211622 0.00437661
4 0 4 0 12.4959 0.754997  0 0.0800264
22 1 4 5.66448 12.4959 0.0146628  0.0300929 0.0663851
40 2 4 11.329 12.4959 0.538653  0.0398217 0.0439234
58 3 4 16.9934 12.4959 0.367936  0.038194 0.0280854
76 4 4 22.6579 12.4959 0.474906  0.0338416 0.0186637
94 5 4 28.3224 12.4959 0  0.0295547 0.0130395
112 6 4 33.9869 12.4959 0.333379  0.0259193 0.0095297
130 7 4 39.6514 12.4959 0.279751  0.0229414 0.00722982
148 8 4 45.3159 12.4959 0.549384  0.0205079 0.00565507
5 0 5 0 15.6198 0  0 0.0640211
23 1 5 5.66448 15.6198 0  0.0205186 0.0565801
41 2 5 11.329 15.6198 0  0.0304276 0.0419522
59 3 5 16.9934 15.6198 0  0.0318972 0.0293189
77 4 5 22.6579 15.6198 0  0.0299169 0.020624
95 5 5 28.3224 15.6198 0.523035  0.0270733 0.0149309
113 6 5 33.9869 15.6198 0.435099  0.0242922 0.0111643
131 7 5 39.6514 15.6198 0.176516  0.0218319 0.00860023
149 8 5 45.3159 15.6198 0.450616  0.0197239 0.0067986
6 0 6 0 18.7438 0  0 0.053351
24 1 6 5.66448 18.7438 0  0.0147737 0.0488863
42 2 6 11.329 18.7438 0.230674  0.023618 0.039076
60 3 6 16.9934 18.7438 0.04829  0.0265478 0.0292823
78 4 6 22.6579 18.7438 0  0.0262029 0.0216764
96 5 6 28.3224 18.7438 0.176415  0.0245537 0.0162497
114 6 6 33.9869 18.7438 0.0758045  0.0225611 0.0124425
132 7 6 39.6514 18.7438 0  0.0206135 0.00974432
150 8 6 45.3159 18.7438 0  0.0188435 0.00779414
7 0 7 0 21.8678 0  0 0.0457294
25 1 7 5.66448 21.8678 0  0.0111006 0.042854
43 2 7 11.329 21.8678 0.596221  0.0186779 0.036053
61 3 7 16.9934 21.8678 0.124815  0.0221564 0.0285116
79 4 7 22.6579 21.8678 0  0.0228503 0.0220534
97 5 7 28.3224 21.8678 0  0.0221207 0.0170794
115 6 7 33.9869 21.8678 0  0.0208086 0.0133886
133 7 7 39.6514 21.8678 0  0.0193381 0.010665
151 8 7 45.3159 21.8678 0  0.0178992 0.00863749
8 0 8 0 24.9917 0  0 0.0400132
26 1 8 5.66448 24.9917 0  0.00862603 0.0380581
44 2 8 11.329 24.9917 0  0.0150465 0.0331925
62 3 8 16.9934 24.9917 0  0.0186053 0.0273623
80 4 8 22.6579 24.9917 0  0.0199109 0.0219617
98 5 8 28.3224 24.9917 0.643477  0.0198511 0.0175166
116 6 8 33.9869 24.9917 0.356523  0.019097 0.0140427
134 7 8 39.6514 24.9917 0  0.0180495 0.0113763
152 8 8 45.3159 24.9917 0  0.0169208 0.00933184
